sample_id,component_name,success,drc_pass,lvs_pass,execution_time,parameters,output_directory,pex_status,total_resistance_ohms,total_capacitance_farads,area_um2,symmetry_horizontal,symmetry_vertical
592,diff_pair_sample_0592,False,True,False,9.686671495437622,"{'width': 5.666568524540464, 'length': 1.884261821247036, 'fingers': 3, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0592,PEX Complete,201107.3040839983,2.2422882200000378e-13,2220.0013000000076,1.0,0.9784773099006744
593,diff_pair_sample_0593,True,True,True,19.19452142715454,"{'width': 13.90976707945925, 'length': 3.7159061309178854, 'fingers': 4, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0593,PEX Complete,575618.7840487278,2.854244260000008e-13,8250.932500000517,1.0,0.98941356022486
594,diff_pair_sample_0594,False,True,False,21.431872844696045,"{'width': 17.55818284491236, 'length': 2.6910205580217568, 'fingers': 4, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0594,PEX Complete,531017.6396447142,3.7086502099999873e-13,7933.56330000074,1.0,0.9912271450585145
595,diff_pair_sample_0595,True,True,True,8.477816343307495,"{'width': 7.529346878040602, 'length': 0.7410743731505998, 'fingers': 2, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0595,PEX Complete,224743.4597300996,7.930649e-14,1469.9982999999913,1.0,0.9808481411168978
596,diff_pair_sample_0596,False,True,False,12.027995347976685,"{'width': 7.2009720970053195, 'length': 3.3746040361220646, 'fingers': 2, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0596,PEX Complete,289136.7252737005,2.6188551300001164e-13,3026.1758999999633,1.0,0.9816235401253441
597,diff_pair_sample_0597,False,True,False,22.743314743041992,"{'width': 19.16718658784358, 'length': 2.368079975979756, 'fingers': 4, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0597,PEX Complete,371523.6324487108,3.791514229999965e-13,7822.100100000805,1.0,0.9918362077723867
598,diff_pair_sample_0598,True,True,True,6.815560340881348,"{'width': 4.910544027946613, 'length': 2.5879220235476197, 'fingers': 1, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0598,PEX Complete,236560.10150499898,6.017928700000001e-14,1480.7690999999875,1.0,0.9748771094696665
599,diff_pair_sample_0599,False,True,False,10.397464752197266,"{'width': 2.78344135585357, 'length': 3.7654578419808242, 'fingers': 5, 'n_or_p_fet': False, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0599,PEX Complete,333023.699878007,2.64004092999983e-13,3355.1104999999384,1.0,0.9694537631472937
600,diff_pair_sample_0600,True,True,True,11.018835544586182,"{'width': 4.03936826119892, 'length': 3.9941507268036083, 'fingers': 5, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0600,PEX Complete,593643.5980760282,2.1411519099999948e-13,4267.9241999999185,1.0,0.9748616903739757
601,diff_pair_sample_0601,True,True,True,12.588345050811768,"{'width': 9.788863776282895, 'length': 2.0952105562451733, 'fingers': 2, 'n_or_p_fet': True, 'plus_minus_seperation': 0.0, 'rmult': 1, 'dummy': True, 'substrate_tap': True}",diff_pair_dataset_1800_lhs/sample_0601,PEX Complete,311670.62873970036,1.2262331100000003e-13,2809.01389999995,1.0,0.9849601313827601
